,url,source,authors,title,pubDate,country,language,description,imageUrl,content
50,https://www.clarionledger.com/story/news/local/2021/04/14/former-jackson-councilman-frank-bluntson-85-ward-4-dies/7218073002/,clarionledger.com,['Justin Vicory'],'A pillar of our community': Former Jackson Councilman Frank Bluntson dies at age 85,2021-04-14T13:24:43+00:00,us,en,'A pillar of our community': Former Jackson Councilman Frank Bluntson dies at age 85  Clarion Ledger,"https://www.gannett-cdn.com/presto/2021/04/14/PJAM/70fdc9ed-1afb-40cb-b3d9-a2aadb261abe-frank-bluntson-1618367920.jpg?crop=766,431,x1,y0&width=1600&height=800&fit=bounds","Former Jackson City Councilman Frank Bluntson died Monday, according to friends and family members. He was 85.

Bluntson represented the city's Ward 4 from 2005 to 2013 and served several years as president of the city council. In 2013, he ran for ma ... [+1327 chars]"
52,https://www.usatoday.com/story/news/nation/2021/03/06/jackson-mississippi-water-crisis-no-end-sight/4609387001/,usatoday.com,"['Justin Vicory', 'Keisha Rowe']","Mississippi's capital city hasn't had clean water in weeks, and there's no end in sight",2021-03-06T16:18:21+00:00,us,en,Answers are few and far between as Mississippi's capital enters a third week without clean water after the winter storms that tore through the South.,"https://www.gannett-cdn.com/presto/2021/02/26/PJAM/a4be329b-1a8e-41bb-a925-2bffea4d3ff2-water.main.break10.jpg?crop=2999,1687,x0,y224&width=1600&height=800&fit=bounds","JACKSON, Miss. – Nearly three weeks after winter storms cut water to customers on Jackson's water system, some haven't seen as much as a trickle return.

What is there cannot be used to brush teeth, wash dishes or hands.

Taking a shower has also bec ... [+9664 chars]"
53,https://scpr.org/news/2021/03/03/96874/like-peanut-brittle-mississippi-water-crisis-highl/,scpr.org,['Southern California Public Radio'],Like 'Peanut Brittle': Mississippi Water Crisis Highlights Infrastructure Problems,2021-03-03T10:00:09+00:00,us,en,,https://a.scpr.org/i/cea3e3eb9b480f63a9ca94faa2857154/231960-full.jpg,"Many residents of Jackson, Miss., remain without running water three weeks after a winter storm hit the city.

The water outages in Jackson began Feb. 15 as a winter storm swept across the state. The storm brought devastating, bitter cold to the Sout ... [+1944 chars]"
56,https://www.buzzfeednews.com/article/briannasacks/jackson-water-crisis-costs?origin=web-hf,buzzfeednews.com,['Brianna Sacks'],"In Jackson, Mississippi, You Can Go Into Debt Trying To Take A Shower",2021-04-07T21:31:35+00:00,us,en,“It’s everyday life to me. I don’t know how else to describe it because I am so used to surviving that way.”,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/7/22/campaign_images/385d06f95512/in-jackson-mississippi-you-can-go-into-debt-tryin-2-1284-1617835526-26_dblbig.jpg?resize=1200:*,"“It’s everyday life to me. I don’t know how else to describe it because I am so used to surviving that way.”

When the water in Jackson, Mississippi, shut off, Gwen Robinson and her daughters tried to cope by getting creative. They avoided using the  ... [+13276 chars]"
58,https://www.twincities.com/2021/02/18/some-electricity-restored-in-texas-but-water-woes-persist/,twincities.com,['Associated Press'],"Some electricity restored in Texas, but water woes grow",2021-02-19T00:54:54+00:00,us,en,"Some electricity restored in Texas, but water woes grow",https://www.twincities.com/wp-content/uploads/2021/02/AP21048669515146-1-e1613651880370.jpg?w=1024&h=576,"AUSTIN, Texas (AP) — Power was restored to more homes and businesses Thursday in states hit by a deadly blast of winter that overwhelmed the electrical grid and left millions shivering in the cold this week. But the crisis was far from over in parts  ... [+7543 chars]"
59,https://yallpolitics.com/2021/06/18/yp-daily-roundup-6-18-21/,yallpolitics.com,[],YP Daily Roundup 6/18/21 | Mississippi Politics and News,2021-06-18T11:50:21+00:00,us,en,YP Daily Roundup 6/18/21 | Mississippi Politics and News  Yall Politics,https://yallpolitics.com/wp-content/uploads/2021/06/2021-DR-7.png,"Stay up-to-date on what’s in the news with the Y’all Politics Daily Roundup.

YP – Governor Reeves: State of emergency over COVID-19 in effect to ensure National Guard gets paid

On Wednesday, Mississippi Speaker of the House Philip Gunn sent a lette ... [+5882 chars]"
60,https://www.reviewjournal.com/news/nation-and-world/water-troubles-rise-in-south-as-power-outages-reduced-2284345/,reviewjournal.com,['Associated Press'],"Texas, Southern cities hit hard by water troubles after storms",2021-02-19T12:44:59+00:00,us,en,Southern cities slammed by winter storms that l eft millions without power for days have traded one crisis for another: Busted water pipes ruptured by record-low temperatures created shortages of clean drinking water.,https://www.reviewjournal.com/wp-content/uploads/2021/02/austinwater2.jpg,"Southern cities slammed by winter storms that l eft millions without power for days have traded one crisis for another: Busted water pipes ruptured by record-low temperatures created shortages of clean drinking water.

AUSTIN, Texas — Southern cities ... [+6907 chars]"
62,http://www.wral.com/power-outages-linger-for-millions-as-another-icy-storm-looms/19533079/,wral.com,['WRAL'],"Some electricity restored in Texas, but water woes grow ::",2021-02-19T01:46:06+00:00,us,en,"Power was restored to more homes and businesses Thursday in states hit by a deadly blast of winter that overwhelmed the electrical grid and left millions shivering in the cold this week. But the crisis was far from over in parts of the South, where many people still lacked safe drinking water.",https://wwwcache.wral.com/asset/news/greenguide/2021/02/18/19533482/602e55e832238-media_6f8eedb53ae04a099c9442ce63012101-DMID1-5px03qrhs-640x480.jpg,"— Power was restored to more homes and businesses Thursday in states hit by a deadly blast of winter that overwhelmed the electrical grid and left millions shivering in the cold this week. But the crisis was far from over in parts of the South, where ... [+7524 chars]"
63,http://www.wral.com/lights-come-back-on-in-texas-as-water-woes-rise-in-the-south/19535031/,wral.com,['WRAL'],Lights come back on in Texas as water woes rise in the South ::,2021-02-19T13:15:21+00:00,us,en,"Many of the millions of Texans who lost power for days after a deadly winter blast overwhelmed the electric grid now have it back, but the crisis was far from over in parts of the South, with many people lacking safe drinking water.",https://wwwcache.wral.com/asset/news/greenguide/2021/02/18/19534377/602ed87529f91-media_1df2842a87d0453f8dd5cb0948913b2d-DMID1-5px5mpqke-640x480.jpg,"— Many of the millions of Texans who lost power for days after a deadly winter blast overwhelmed the electric grid now have it back, but the crisis was far from over in parts of the South, with many people lacking safe drinking water.

Nearly 185,000 ... [+5642 chars]"
65,https://www.insider.com/hundreds-of-thousands-of-southerners-still-dont-have-clean-water-2021-3,insider.com,['Erin Snodgrass'],"2 weeks after a major winter storm, hundreds of thousands of people in the South still don't have clean water",2021-03-03T02:31:45+00:00,us,en,"Residents have resorted to using donated bottled water to drink, bathe themselves, and flush their toilets, as the region works to recover.",https://i.insider.com/603eb62db46d720018b0479b?width=1200&format=jpeg,"
• A rare winter storm battered the South in mid-February, leaving millions without power and water.
• Two weeks later, hundreds of thousands of people still don't have clean drinking water.
• City and state officials are asking for more federal assi ... [+3639 chars]"
